sequence
hththhhttthhthhhhttttthhhthththhttthhthhthththhhttthhhthththhhtttthhhthhththhththththhthhhthththhhttthhhhttthhhhththththhhhhhthhhthhhththththhhhhthththhhththth
thhttthhthththhhthththththhhthhthhthhhththttthhthhhthththtthhththtththhthhthththtthhthtthththththtthththhthhthhhthttthhththththtthththhthththththththththththtthththththhtththhththththththhhthhththththththththththhththththttthhththththththtt
hththththththththththththththththththththththththththththththththhththththththhthththththththththththththththththththththththththththththththththththththththththhththhthththhthhht
hthththththththtthththththththththththththththtththththththththththththththththththththththththtthththththththththththththththththththththththththththhthththththtththhththtththth
hthththththththhhhthththththththtttthththththhtthththththhhthththththtthththththhththththttthththttttththththhtht
hththhhhthttttththttthtththtttttthhhththhtthththththhhhthththththtthtthththththhhthththhththhhththththhhhthththtttttttttthhthhhthhhthhttthhtththhhhthththhththththththththththththththt
hththththththththththhthththththththththththththththththhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhtttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttthhhhhhhhhhhh
hhththththhhhththththhhthththththththhhhhthhtttttttthhththththththththththhhththththththththththththhthhththththhthhhthththththhththhthththtththththththhhthtththtttthththththththththt
hhtthhhhttthhhhhttthhhthththththhhtthhtthhhhttthhttthhttttthhhttttttthhhttttttthhhhhttththththththththththttthttt
ththhththththhttthhhthhhhthttthththththhththththhththththththhththththththhhhhhththththtttthhthttthththhhhththththtththththttthththththththhhththhhthththththhhthhthththththththththththththhthttthh
tttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttthhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
thhthhtthhttththththhhttthhttththththhhththththtthhthhtttthhhththhththhhhhthhththththththttttthhhhhhhhhtttttttthhthhhhhht
htthhhhhthhttthttthhhhhtthhtthhhtttthhhhthhttthhthhhthhhthhhhhthhhhthththththhhhhhttthhthhthhhttthhthhhthhthhthhhhhttttthhhhthhhthhhhhthhhhthhhhthhhhthhhhthhhhthhhththhthhthththththththththththththththththththt
hththththththththththththththtthtthtththththttththththththththhhthtthhtththhthtththhthhhthhththhthththththtththththththttttththhhththththththththththththththththththththththththththhthtthhthtththhththththtthhthththththtthhththththththt
